full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,56844,56844,4157,96,96,12,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,14295,14295,3327,29,29,1,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,25729,25729,2010,20,20,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,16173,16173,1406,94,94,7,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,20462,20462,1157,27,27,1,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5129,5129,1372,8,8,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8405,8405,1113,3,3,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,7907,7907,884,21,21,0,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3479,3479,518,1,1,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,4734,4734,397,109,109,9,https://github.com/ChrisWiles/claude-code-showcase
obra/superpowers,23967,23967,1785,506,506,35,https://github.com/obra/superpowers
1rgs/claude-code-proxy,2844,2844,389,1,1,2,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5282,5282,200,0,0,0,https://github.com/kodu-ai/claude-coder
Piebald-AI/claude-code-system-prompts,3054,3054,451,8,8,0,https://github.com/Piebald-AI/claude-code-system-prompts
Yuyz0112/claude-code-reverse,1944,1944,344,3,3,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6182,6182,300,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zebbern/claude-code-guide,3044,3044,268,5,5,1,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,2071,2071,440,1,1,0,https://github.com/disler/claude-code-hooks-mastery
fuergaosi233/claude-code-proxy,1888,1888,258,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2251,2251,248,1,1,0,https://github.com/Cranot/claude-code-guide
eyaltoledano/claude-task-master,24834,24834,2384,3,3,1,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-code-base-action,557,557,597,2,2,0,https://github.com/anthropics/claude-code-base-action
frankbria/ralph-claude-code,3072,3072,200,59,59,2,https://github.com/frankbria/ralph-claude-code
Pimzino/claude-code-spec-workflow,3325,3325,244,2,2,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,25533,25533,2810,35,35,3,https://github.com/wshobson/agents
anthropics/skills,41726,41726,3834,267,267,32,https://github.com/anthropics/skills
anthropics/claude-code-security-review,2837,2837,208,2,2,0,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,366,366,489,2,2,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
github/spec-kit,62752,62752,5436,67,67,8,https://github.com/github/spec-kit
siteboon/claudecodeui,5513,5513,703,6,6,1,https://github.com/siteboon/claudecodeui
ghuntley/claude-code-source-code-deobfuscation,796,796,398,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1318,1318,219,0,0,1,https://github.com/lst97/claude-code-sub-agents
edmund-io/edmunds-claude-code,924,924,193,2,2,0,https://github.com/edmund-io/edmunds-claude-code
feiskyer/claude-code-settings,1091,1091,168,2,2,1,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,835,835,190,2,2,0,https://github.com/sugyan/claude-code-webui
router-for-me/CLIProxyAPI,6781,6781,1036,39,39,6,https://github.com/router-for-me/CLIProxyAPI
nishimoto265/Claude-Code-Communication,471,471,220,1,1,1,https://github.com/nishimoto265/Claude-Code-Communication
ComposioHQ/awesome-claude-skills,19730,19730,1994,124,124,6,https://github.com/ComposioHQ/awesome-claude-skills
rizethereum/claude-code-requirements-builder,1727,1727,171,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
centminmod/my-claude-code-setup,1649,1649,160,0,0,0,https://github.com/centminmod/my-claude-code-setup
andrepimenta/claude-code-chat,971,971,142,1,1,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19999,19999,1539,9,9,1,https://github.com/winfunc/opcode
darcyegb/ClaudeCodeAgents,467,467,43,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
peterkrueck/Claude-Code-Development-Kit,1275,1275,145,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
steipete/claude-code-mcp,1002,1002,117,1,1,1,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1161,1161,141,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
EnzeD/vibe-coding,3684,3684,1138,5,5,1,https://github.com/EnzeD/vibe-coding
revfactory/claude-code-mastering,735,735,117,0,0,0,https://github.com/revfactory/claude-code-mastering
EveryInc/compound-engineering-plugin,4772,4772,398,26,26,3,https://github.com/EveryInc/compound-engineering-plugin
JessyTsui/Claude-Code-Remote,955,955,105,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
wasabeef/claude-code-cookbook,953,953,105,1,1,1,https://github.com/wasabeef/claude-code-cookbook
disler/claude-code-hooks-multi-agent-observability,899,899,276,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
zed-industries/claude-code-acp,741,741,112,1,1,1,https://github.com/zed-industries/claude-code-acp
0xfurai/claude-code-subagents,639,639,123,2,2,0,https://github.com/0xfurai/claude-code-subagents
opactorai/Claudable,3606,3606,556,1,1,0,https://github.com/opactorai/Claudable
jarrodwatts/claude-code-config,795,795,94,11,11,1,https://github.com/jarrodwatts/claude-code-config
kn1026/cc,699,699,265,0,0,0,https://github.com/kn1026/cc
upstash/context7,42065,42065,2044,44,44,1,https://github.com/upstash/context7
catlog22/Claude-Code-Workflow,979,979,82,9,9,0,https://github.com/catlog22/Claude-Code-Workflow
slopus/happy,7411,7411,550,31,31,1,https://github.com/slopus/happy
anthropics/claude-agent-sdk-python,4140,4140,552,4,4,0,https://github.com/anthropics/claude-agent-sdk-python
pchalasani/claude-code-tools,1082,1082,77,5,5,1,https://github.com/pchalasani/claude-code-tools
superdesigndev/superdesign,5723,5723,660,1,1,0,https://github.com/superdesigndev/superdesign
alirezarezvani/claude-code-tresor,431,431,108,3,3,1,https://github.com/alirezarezvani/claude-code-tresor
simonw/claude-code-transcripts,771,771,79,3,3,0,https://github.com/simonw/claude-code-transcripts
severity1/claude-code-prompt-improver,1051,1051,96,2,2,0,https://github.com/severity1/claude-code-prompt-improver
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
ericbuess/claude-code-docs,558,558,89,1,1,0,https://github.com/ericbuess/claude-code-docs
anthropics/claude-agent-sdk-demos,1153,1153,184,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
numman-ali/openskills,5038,5038,364,20,20,2,https://github.com/numman-ali/openskills
anthropics/claude-plugins-official,3843,3843,439,39,39,5,https://github.com/anthropics/claude-plugins-official
greggh/claude-code.nvim,1721,1721,54,1,1,0,https://github.com/greggh/claude-code.nvim
kepano/obsidian-skills,6495,6495,308,40,40,0,https://github.com/kepano/obsidian-skills
jeremylongshore/claude-code-plugins-plus-skills,980,980,118,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
Matt-Dionis/claude-code-configs,598,598,79,2,2,0,https://github.com/Matt-Dionis/claude-code-configs
zsio/claude-code-hub,144,144,151,0,0,0,https://github.com/zsio/claude-code-hub
d-kimuson/claude-code-viewer,781,781,71,3,3,1,https://github.com/d-kimuson/claude-code-viewer
coleam00/context-engineering-intro,12191,12191,2574,2,2,0,https://github.com/coleam00/context-engineering-intro
manzaltu/claude-code-ide.el,1248,1248,71,0,0,0,https://github.com/manzaltu/claude-code-ide.el
ykdojo/claude-code-tips,941,941,60,12,12,1,https://github.com/ykdojo/claude-code-tips
BloopAI/vibe-kanban,16271,16271,1506,79,79,9,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,71085,71085,6186,555,555,49,https://github.com/anomalyco/opencode
MadAppGang/claude-code,207,207,20,0,0,0,https://github.com/MadAppGang/claude-code
nextlevelbuilder/ui-ux-pro-max-skill,14968,14968,1496,306,306,15,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
bfly123/claude_code_bridge,639,639,63,3,3,0,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,722,722,78,4,4,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
UfoMiao/zcf,5215,5215,365,3,3,1,https://github.com/UfoMiao/zcf
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
breaking-brake/cc-wf-studio,2626,2626,290,1,1,0,https://github.com/breaking-brake/cc-wf-studio
oraios/serena,18686,18686,1275,13,13,0,https://github.com/oraios/serena
hesreallyhim/a-list-of-claude-code-agents,1132,1132,109,2,2,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
cexll/myclaude,1854,1854,223,11,11,0,https://github.com/cexll/myclaude
Dicklesworthstone/claude_code_agent_farm,625,625,74,1,1,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
