full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,126590,126590,20757,79,79,11,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18933,18933,15970,28,28,5,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2169,2169,5889,3,3,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3327,3327,4629,5,5,2,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,62682,62682,10241,99,99,18,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2720,2720,3371,3,3,2,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9263,9263,14650,7,7,3,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1753,1753,2553,1,1,1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1411,1411,2379,1,1,2,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,83,83,7262,0,0,0,https://github.com/RishabhK103/claude-code
Alishahryar1/free-claude-code,29767,29767,4478,91,91,15,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,44822,44822,3866,24,24,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,54903,54903,5508,75,75,9,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34392,34392,2807,5,5,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27570,27570,2832,8,8,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,863,863,1198,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,180,180,2272,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,19969,19969,2899,52,52,6,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3152,3152,3803,2,2,5,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20551,20551,2397,18,18,6,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2250,2250,3508,2,2,1,https://github.com/ponponon/claude_code_src
